name,24hr,40hr,72hr
line_3,80,8.675,0.9095
line_5,80,64.2,2.4615
line_7,80,30.45,2.09
line_11,1.61,0.668,0.47
line_13,80,1.12,0.737
line_14,80,41.5,2.16
line_15,1.99,1.15,0.5615
line_17,1.95,0.615,0.343
line_18,23.64,4.795,0.5295
line_20,50.95,1.29,0.687
line_23,60,1.1705,0.48
line_24,46.3,1.58,0.526
line_26,44.3,9.825,0.5895
line_28,80,1.435,0.57
line_29,1.76,0.799,0.36
line_30,0.556,0.573,0.408
line_31,1.3,0.997,0.58
line_32,1.86,1.455,1.1105
line_33,21.005,1.83,0.878
line_34,3.53,0.908,0.47
line_35,2.25,1.25,0.795
line_36,61.4,1.04,0.281
line_37,4.63,0.999,0.515
line_38,1.29,1.725,0.7645
line_39,80,4.75,1.1735
line_40,80,8.17,0.737
line_42,1.705,0.7985,0.2785
line_43,4.355,0.9465,0.3515
line_44,23.6,2.23,1.01
line_45,53.7,2.51,1.5
line_46,80,11.695,0.651
line_47,19.9,1.83,0.871
line_48,40.93,2.12,0.8875
line_49,19.22,1.37,0.6195
line_50,80,1.18,0.556
line_51,2.73,0.7285,0.276
line_52,3.59,0.879,0.271
line_53,0.638,0.436,0.254
line_54,2.22,1.045,0.515
line_57,7.44,2.61,1.09
line_58,80,4.625,2.05
line_59,6.59,3.79,1.37
line_60,80,80,1.01
line_61,12.2,1.99,0.749
line_62,80,2.36,1.57
line_63,0.986,0.554,0.287
line_64,40.58,0.603,0.289
line_65,80,80,2.9
line_66,2.68,1.95,1.22
line_67,80,1.13,0.394
line_68,80,3.98,2.08
line_69,5.39,1.97,0.845
line_70,80,1.35,0.516
line_71,80,80,1.92
line_72,80,34.5,1.1
line_73,55.4,27.8,6.78
line_74,3.605,1.785,1.215
line_75,80,18.275,2.99
line_76,17,7.3,0.937
line_77,1.21,0.965,0.599
line_78,80,4.34,1.81
line_79,80,12.7,0.586
line_80,1.92,1.22,1.06
line_81,1.14,0.632,0.521
line_82,2.535,2.2,1.55
line_83,40,6.94,0.879
line_84,2.15,0.673,0.384
line_85,80,33.065,1.445
line_86,0,0,3.19
line_87,80,6.19,1.53
line_88,80,80,4.96
line_89,80,23.3,1.37
line_90,80,4.47,1.28
line_91,80,34.8,1.96
line_92,1.059,0.706,0.606
line_93,19.9,2.05,0.567
line_94,17.865,1.41,0.688
line_95,51.05,7.96,2.19
line_96,12.155,1.2385,0.575
line_97,77.95,22,1.45
line_98,3.32,1.54,1.24
line_99,4.07,1.57,1.001
line_100,2.32,1.3,0.711
line_101,80,63.4,3.66
line_102,1.95,1.11,0.487
line_103,3.53,1.58,0.999
line_104,5.805,2.35,1.125
line_105,80,17.9,0.937
line_106,10.92,2.47,1.2735
line_107,3.31,2.06,1.333
line_108,2.32,1.725,1.432
line_109,80,80,5.68
line_110,4.09,0.8445,0.401
line_111,46.7,1.92,0.735
line_112,42.315,2.25,0.81
line_113,80,5.02,1.42
line_114,61.05,0.905,0.315
line_115,75.7,0.445,0.3285
line_116,2.29,2.06,1.22
line_117,2.11,0.8495,0.4205
line_118,1.59,0.949,0.449
line_119,1.016,0.9065,0.7415
line_120,37.35,1.945,0.7925
line_121,80,80,2.51
line_122,80,2.505,0.926
line_123,40,4.76,0.801
line_124,33.7,27.9,1.15
line_125,3.26,1.54,1.05
line_126,80,80,1.38
line_127,15.8,1.18,0.692
line_128,80,1.2,0.6915
line_129,50.3,1.1655,0.5435
line_130,80,3.69,1.102
line_131,80,45,2.3
line_132,1.525,1.74,0.522
line_133,41.015,1.075,0.6255
line_137,0.76,0.5785,0.3935
line_138,0.358,0.204,0.183
line_139,1.445,0.884,0.5615
line_140,0.728,0.483,0.334
line_141,1.0525,0.7485,0.4245
line_142,0.891,0.828,0.804
line_143,0.587,0.311,0.246
line_144,0.541,0.4265,0.3015
line_145,0.739,0.732,0.463
line_146,0.738,0.35,0.353
line_147,0.302,0.247,0.255
line_148,0.736,0.6375,0.4325
line_149,1.2,1.03,0.646